Date,site,air.7,baro.7,airmin.7,airmax.7,ppt_in,days_wo_ppt,ppt2_in,days_wo_ppt2,level.avg,temp.avg,level.max,temp.max,level.min,temp.min,level.avg.7,temp.avg.7,level.max.7,temp.max.7,level.min.7,temp.min.7,level.7dL
1/15/2011,nfa,6.472222222,29.03861111,4.5,10.33333333,0,1,0,1,1.780291667,6.52375,1.834,6.92,1.7455,6.165,1.799583334,6.85609375,1.84425,7.1825,1.766625,6.52,NA
1/16/2011,nfa,6.190476191,29.01357143,4.142857143,10.14285714,0,2,0,2,1.742416667,6.401875,1.7635,6.74,1.7185,6.105,1.803325,6.786916667,1.8518,7.145,1.7653,6.458,0.613329736
1/17/2011,nfa,5.547619048,28.98738095,3.142857143,10.14285714,0,3,0,3,1.7790625,7.115,1.83,7.47,1.7505,6.745,1.792208334,6.699791667,1.838166667,7.0275,1.753583333,6.388333333,-0.407615277
1/18/2011,nfa,5.333333333,28.95833333,2.857142857,10.14285714,0,4,0,4,1.8965625,7.38375,1.9495,7.6,1.852,7.065,1.781431548,6.575327381,1.825642857,6.885714286,1.744285714,6.272142857,-0.530223
1/19/2011,nfa,5.428571429,28.925,2.714285714,11.14285714,0,5,0,5,1.818291667,6.510208333,1.882,6.995,1.76,6.21,1.765047619,6.471964286,1.805785714,6.761428571,1.728785714,6.185714286,-0.880248519
1/20/2011,nfa,4.976190476,28.91714286,2.142857143,10.85714286,0,6,0,6,1.736625,6.264166667,1.77,6.44,1.695,6.04,1.752288691,6.468452381,1.794142857,6.765714286,1.715428571,6.169285714,-0.683536811
1/21/2011,nfa,4.571428571,28.91261905,1.428571429,10.71428571,0,7,0,7,1.716770833,5.828541667,1.7505,6.035,1.6885,5.575,1.739720238,6.347083333,1.777928571,6.623571429,1.703642857,6.061428571,-0.655781936
1/22/2011,nfa,4.523809524,28.91619048,1.428571429,10.42857143,0,8,0,8,1.665604167,5.800208333,1.695,6.05,1.637,5.56,1.703717262,6.157351191,1.739357143,6.449285714,1.669285714,5.87,-1.992465173
1/23/2011,nfa,4.571428571,28.93238095,1.285714286,10.57142857,0,9,0,9,1.653104167,6.377291667,1.682,6.77,1.625,5.99,1.674895833,6.131101191,1.705357143,6.394285714,1.643857143,5.854285714,-1.646124878
1/24/2011,nfa,4.809523809,28.94190476,1.428571429,11,0,10,0,10,1.691083333,6.265416667,1.7165,6.475,1.668,5.99,1.65933631,6.152767857,1.687928571,6.46,1.631142857,5.857857143,-0.905814828
1/25/2011,nfa,4.785714286,28.94,1.428571429,11.14285714,0,11,0,11,1.644541667,6.055625,1.6795,6.38,1.6115,5.725,1.647955357,6.226934524,1.676357143,6.537142857,1.619071429,5.928571429,-0.660028441
1/26/2011,nfa,4.571428571,28.94261905,1.142857143,10.42857143,0,12,0,12,1.616541667,6.326458333,1.644,6.61,1.582,6.1,1.636723214,6.26110119,1.6655,6.587857143,1.607357143,5.964285714,-0.67165804
1/27/2011,nfa,4.69047619,28.92928572,1.428571429,10.14285714,0,13,0,13,1.627708333,6.415833333,1.648,6.9,1.606,6.065,1.622541667,6.194910714,1.650642857,6.519285714,1.592357143,5.905,-0.862819949
