PWS_NAME,PWSID,WDCODE,SOURCE,CONNECTIONS,TYPE,AREA,OWNERSHIP,Shape_STAr,Shape_STLe,Basin_count,BasinNo,AB3030,ABTOC,Abmonth,SB1938,SBTOC,Sbmonth,no.irwms,IWRM,MPTOC1,name.irwm1,IRWMorg1,MPTOC2,name.irwmp2,IRWMorg2,MPTOC3,name.irwmp3,IRWMorg3,member
10000 Buddhas City Of,NA,4054,NA,NA,NA,NA,NA,531684.5181,3429.524595,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
4-e Water District,NA,1,NA,NA,NA,NA,NA,7299566.284,17579.19556,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
4-m Water District,NA,2,NA,NA,NA,NA,NA,71728776.19,71531.48933,NA,NA,0,NA,NA,0,NA,NA,1,1,12/12/2006,Sacramento Valley,33,,,NA,,,,NA
Acampo Water System,3901303,NA,Groundwater,61,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Adams Springs Water District,1700501,12,Groundwater Purchased,30,Community,Residential Area,Local,737195.0181,5003.668034,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Adelanto  City Of,3610001,13,Groundwater,8165,Community,Residential Area,Local,8492148.065,15463.861,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Ady District Imperial County,NA,14,NA,NA,NA,NA,NA,2942549.101,14054.41983,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alameda County Flood Control And Water Conservation District,NA,21,NA,NA,NA,NA,NA,1096683894,160929.4009,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alameda County Water District,110001,23,Surface Water,82487,Community,Residential Area,Local,271418712.9,115909.3006,59,2-9.01,1,3/22/2001,99,0,N/A,NA,1,1,11/1/2006,Bay Area,19,,,NA,,,,81700
Aldercroft Heights County Water District,4300516,4238,Surface Water,116,Community,Residential Area,Local,743736.0634,4878.691051,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alderpoint County Water,1200501,NA,Surface Water,79,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Alhambra  City Of,1910001,30,Surface Water Purchased,18177,Community,Residential Area,Local,19789367,20962.58705,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,,,NA,,,,NA
Aliso Water District,NA,32,NA,NA,NA,NA,NA,107724107.4,96511.72279,26,5-22.07,1,1/23/1996,37,0,N/A,NA,,0,NA,,0,,,NA,,,,NA
Aliso Water District,NA,32,NA,NA,NA,NA,NA,107724107.4,96511.72279,6,5-22.06,1,1/23/1996,37,0,N/A,NA,,0,NA,,0,,,NA,,,,NA
Alleghany County W.D.,4600012,NA,Surface Water,55,Community,Residential Area,Local,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1,5/30/2014,CABY,30,,,NA,,,,NA
